Fecha,Institución,Pacientes,Positivos,En_estudio
17/08/2020,HCG,94,49,45
17/08/2020,ISSSTE,34,10,24
17/08/2020,IMSS,499,221,278
17/08/2020,Privados,68,48,20
18/08/2020,SSJ,161,92,69
18/08/2020,HCG,96,53,43
18/08/2020,ISSSTE,34,23,11
18/08/2020,IMSS,491,247,244
18/08/2020,Privados,76,51,25
19/08/2020,SSJ,158,90,68
19/08/2020,HCG,99,59,40
19/08/2020,ISSSTE,34,16,18
19/08/2020,IMSS,518,240,278
19/08/2020,Privados,81,56,25
20/08/2020,SSJ,140,87,53
20/08/2020,HCG,92,66,26
20/08/2020,ISSSTE,32,16,16
20/08/2020,IMSS,491,281,210
20/08/2020,Privados,83,66,17
21/08/2020,SSJ,153,101,52
21/08/2020,HCG,98,65,33
